ID,Ticker,Retorno Esperado,Riesgo,InversionMi­nima,Tipo,Sector,Rendimiento_2019,Rendimiento_2020,Rendimiento_2021,Rendimiento_2022,Rendimiento_2023
AAPL_01,AAPL,0.1795,0.3654,1000,ETF,Industria,0.0052,0.2807,-0.1421,0.3686,0.4432
MSFT_02,MSFT,0.1028,0.311,5000,CEDEAR,Tecnologia,0.0256,0.4572,0.2992,0.4599,0.4449
GOOGL_03,GOOGL,0.217,0.2061,10000,Obligacion Negociable,Finanzas,-0.0678,0.2342,-0.0474,0.0523,0.1871
AMZN_04,AMZN,0.0693,0.3427,1000,CEDEAR,Tecnologia,0.4995,-0.0917,0.3571,0.4399,-0.1446
TSLA_05,TSLA,0.187,0.1495,1000,Accion,Consumo,0.3669,0.4981,0.3071,0.2242,-0.1681
META_06,META,0.1511,0.3928,20000,CEDEAR,Consumo,0.1338,0.4524,0.1872,0.0346,-0.1737
NVDA_07,NVDA,0.1498,0.2969,20000,CEDEAR,Tecnologia,-0.048,0.4888,0.4974,0.1151,0.1147
JPM_08,JPM,0.2041,0.1293,10000,ETF,Finanzas,0.2811,0.282,0.4825,0.46,0.2977
V_09,V,0.1298,0.2153,20000,CEDEAR,Finanzas,-0.0771,0.2337,0.3654,0.3572,0.1105
UNH_10,UNH,0.2121,0.2517,20000,Obligacion Negociable,Tecnologia,0.3578,-0.0321,0.4963,-0.0888,-0.1662
HD_11,HD,0.2199,0.205,1000,Accion,Consumo,0.1709,0.2144,0.3666,-0.0805,0.3518
MA_12,MA,0.0945,0.3189,1000,Bono Soberano,Industria,-0.0806,0.1057,-0.0793,0.0374,-0.0351
PG_13,PG,0.1266,0.2817,10000,CEDEAR,Finanzas,0.0027,0.1652,0.4151,0.3197,0.3323
DIS_14,DIS,0.2259,0.2356,20000,Obligacion Negociable,Tecnologia,0.0489,-0.0359,0.4248,0.3524,-0.1386
BAC_15,BAC,0.2308,0.1377,5000,CEDEAR,Energia,0.141,-0.0013,0.2764,-0.1254,-0.0217
XOM_16,XOM,0.2235,0.11,5000,Bono Soberano,Salud,-0.1375,-0.1875,-0.0442,0.0536,0.044
KO_17,KO,0.0709,0.3235,1000,ETF,Finanzas,-0.0315,-0.0746,0.2681,-0.1079,-0.1106
PEP_18,PEP,0.0507,0.2022,10000,Bono Soberano,Industria,0.0582,0.1186,-0.0781,0.42,-0.1061
CSCO_19,CSCO,0.0717,0.1436,10000,ETF,Finanzas,0.3319,0.4849,0.3067,0.415,-0.0048
INTC_20,INTC,0.0518,0.2312,5000,Bono Soberano,Industria,-0.1858,0.3983,-0.0906,-0.1487,0.3267
SPY_21,SPY,0.1893,0.102,5000,CEDEAR,Salud,0.3703,-0.1174,0.3972,-0.0961,0.0917
QQQ_22,QQQ,0.1203,0.2238,5000,Accion,Industria,0.4004,0.4142,-0.0624,0.2754,-0.0488
DIA_23,DIA,0.1218,0.2157,1000,CEDEAR,Tecnologia,0.3051,0.3512,0.15,0.1368,0.4528
IWM_24,IWM,0.0608,0.2171,1000,Bono Soberano,Salud,0.4445,0.1045,0.1153,0.1513,-0.0085
ARKK_25,ARKK,0.2444,0.1615,20000,CEDEAR,Tecnologia,-0.1559,-0.1871,0.172,-0.1835,0.3366
VTI_26,VTI,0.2268,0.3952,1000,CEDEAR,Consumo,-0.0666,0.2278,0.2376,0.4283,0.4857
VOO_27,VOO,0.0805,0.1722,5000,Obligacion Negociable,Tecnologia,0.1233,0.4794,0.0268,-0.0407,0.3723
XLK_28,XLK,0.0614,0.3311,20000,Accion,Energia,0.269,0.0928,0.1897,0.2985,0.1072
XLF_29,XLF,0.1779,0.3968,5000,Obligacion Negociable,Industria,0.4332,0.121,-0.0923,0.091,0.1498
XLV_30,XLV,0.2015,0.1175,10000,CEDEAR,Finanzas,-0.1082,-0.146,-0.0743,0.1393,0.0518
YPF_31,YPF,0.1351,0.228,5000,Bono Soberano,Industria,0.4844,-0.172,-0.1855,0.154,0.2601
GGAL_32,GGAL,0.1576,0.3386,5000,Bono Soberano,Salud,0.175,0.0318,0.24,-0.0041,0.0914
PAMP_33,PAMP,0.1517,0.3352,1000,CEDEAR,Tecnologia,-0.1928,0.0626,0.1641,0.4139,0.259
BMA_34,BMA,0.2115,0.2011,1000,CEDEAR,Salud,0.4913,0.4891,0.2755,0.158,0.321
CEPU_35,CEPU,0.1321,0.1763,10000,Bono Soberano,Tecnologia,0.1635,0.2118,-0.131,-0.1124,0.469
TXAR_36,TXAR,0.246,0.3322,1000,ETF,Finanzas,0.196,-0.1283,-0.0686,0.4489,0.3816
LOMA_37,LOMA,0.0864,0.1628,5000,CEDEAR,Tecnologia,0.0968,-0.037,0.2285,-0.1711,0.4659
TGSU2_38,TGSU2,0.1798,0.2514,5000,CEDEAR,Salud,-0.1649,0.081,0.2073,0.3945,0.0661
EDN_39,EDN,0.0805,0.3343,1000,CEDEAR,Tecnologia,0.4214,-0.0729,-0.0645,0.1446,0.2786
SUPV_40,SUPV,0.1098,0.3009,10000,Bono Soberano,Tecnologia,0.4046,-0.0741,0.167,0.2417,0.0015
AL30_41,AL30,0.1288,0.272,5000,CEDEAR,Consumo,0.3173,0.3833,0.4405,0.0444,0.2496
GD30_42,GD30,0.1135,0.259,1000,Bono Soberano,Consumo,0.4392,0.0412,0.1689,-0.131,0.3777
AE38_43,AE38,0.2132,0.3781,1000,ETF,Salud,-0.0789,-0.157,0.3402,0.4079,0.4541
TO26_44,TO26,0.1412,0.2959,5000,ETF,Tecnologia,0.3994,0.1602,0.1476,0.0971,-0.1676
TVPP_45,TVPP,0.131,0.1134,20000,CEDEAR,Energia,-0.1652,0.4092,0.3281,0.3534,0.4098
DICA_46,DICA,0.2294,0.2373,1000,ETF,Tecnologia,0.0922,0.2692,-0.1164,0.0985,-0.1141
CUAP_47,CUAP,0.0597,0.3516,1000,CEDEAR,Tecnologia,0.4146,0.3393,0.1526,0.1086,0.2567
BPLD_48,BPLD,0.0851,0.1315,1000,ETF,Finanzas,0.0275,0.27,0.1121,0.1568,0.3401
TJ20_49,TJ20,0.1345,0.3341,1000,Accion,Energia,-0.014,0.2027,-0.084,0.3568,0.232
T2X3_50,T2X3,0.0774,0.1411,1000,Obligacion Negociable,Consumo,-0.0949,0.3708,0.4422,0.1275,0.286
PBY22_51,PBY22,0.0887,0.2931,5000,ETF,Consumo,0.2179,0.195,0.0246,0.2201,0.2733
CBC1_52,CBC1,0.0949,0.282,1000,Bono Soberano,Energia,0.34,0.3549,-0.1247,0.0061,0.4946
MGC1_53,MGC1,0.092,0.3941,5000,ETF,Industria,0.4174,0.03,-0.032,0.3973,0.1843
MCC1_54,MCC1,0.2404,0.1924,20000,Bono Soberano,Salud,0.414,-0.077,-0.1521,0.2131,-0.1668
CGC1_55,CGC1,0.1991,0.2448,20000,Obligacion Negociable,Salud,-0.0542,0.4896,0.0643,0.4963,0.1907
GNC1_56,GNC1,0.2314,0.2245,10000,ETF,Consumo,-0.1714,0.3801,0.1616,0.1091,0.1982
RDC1_57,RDC1,0.1415,0.247,1000,Accion,Tecnologia,0.133,-0.1444,0.3572,-0.1685,-0.0818
PDC1_58,PDC1,0.1381,0.1409,20000,Obligacion Negociable,Finanzas,0.3199,0.1737,-0.1875,0.0847,-0.0285
YDC1_59,YDC1,0.2083,0.3525,10000,Accion,Industria,-0.0799,0.1442,-0.0678,0.1068,-0.1976
BDC1_60,BDC1,0.1536,0.1169,5000,CEDEAR,Energia,0.3892,0.0811,0.0137,0.3474,0.178
